unidad,imageID,water_perc,year,month,day,modDOY,modyear,area,waterarea
Valencia N,1_1_1_LT05_198033_19841219_WATER,0.5010488621098063,1984,12,19,19,1985,9661724,4840995.816219006
Alfafar,1_1_1_LT05_198033_19841219_WATER,0.7211450134106712,1984,12,19,19,1985,6189465,4463501.82042988
Valencia S,1_1_1_LT05_198033_19841219_WATER,0.7927418784399416,1984,12,19,19,1985,9859932,7816381.01497009
Massanassa,1_1_1_LT05_198033_19841219_WATER,0.7064198803665627,1984,12,19,19,1985,3893886,2750718.4822810334
Catarroja,1_1_1_LT05_198033_19841219_WATER,0.5803421704435661,1984,12,19,19,1985,7132805,4139467.5350507204
Vedat Silla,1_1_1_LT05_198033_19841219_WATER,0.6627643414355489,1984,12,19,19,1985,7906633,5240234.413217578
Marjal Silla,1_1_1_LT05_198033_19841219_WATER,0.746317064772423,1984,12,19,19,1985,7099013,5298114.544941273
Sollana W,1_1_1_LT05_198033_19841219_WATER,0.3195491291738515,1984,12,19,19,1985,11602589,3707597.211112108
Sollana E,1_1_1_LT05_198033_19841219_WATER,0.8342325854060271,1984,12,19,19,1985,9436111,7871911.275708252
Vedat Sollana,1_1_1_LT05_198033_19841219_WATER,0.005369448146764296,1984,12,19,19,1985,9895660,53134.23324800957
Sueca N,1_1_1_LT05_198033_19841219_WATER,0.8471200894150764,1984,12,19,19,1985,12981706,10997063.947480233
Albalat,1_1_1_LT05_198033_19841219_WATER,0.00262106744691,1984,12,19,19,1985,17166891,44995.57916475226
Sueca E,1_1_1_LT05_198033_19841219_WATER,0.21325586766341945,1984,12,19,19,1985,14200803,3028404.56528229
Vedat Nou Sueca,1_1_1_LT05_198033_19841219_WATER,0.8898083656723977,1984,12,19,19,1985,18323485,16304390.241272695
Vedat Vell Sueca,1_1_1_LT05_198033_19841219_WATER,0.8479756552534964,1984,12,19,19,1985,10511863,8913803.915359985
Cullera,1_1_1_LT05_198033_19841219_WATER,0.18240978524128873,1984,12,19,19,1985,15100532,2754484.7991492082
Sueca W,1_1_1_LT05_198033_19841219_WATER,0.3491920536406565,1984,12,19,19,1985,11324002,3954251.513810901
Marjales S Xuquer,1_1_1_LT05_198033_19841219_WATER,0.23684139511216457,1984,12,19,19,1985,27670063,6553416.3237614855
AllUnits,1_1_1_LT05_198033_19841219_WATER,0.5014680377929526,1984,12,19,19,1985,209879581,105247901.65687706
Valencia N,1_1_1_LT05_198033_19851206_WATER,0.6881149075881345,1985,12,6,6,1986,9661724,6648376.317402062
Alfafar,1_1_1_LT05_198033_19851206_WATER,0.7453739713352147,1985,12,6,6,1986,6189465,4613466.107490314
Valencia S,1_1_1_LT05_198033_19851206_WATER,0.7345944617848595,1985,12,6,6,1986,9859932,7243051.440775313
Massanassa,1_1_1_LT05_198033_19851206_WATER,0.6344270767726015,1985,12,6,6,1986,3893886,2470386.712265758
Catarroja,1_1_1_LT05_198033_19851206_WATER,0.481559013315493,1985,12,6,6,1986,7132805,3434866.537971815
Vedat Silla,1_1_1_LT05_198033_19851206_WATER,0.658808336149084,1985,12,6,6,1986,7906633,5208955.73127144
Marjal Silla,1_1_1_LT05_198033_19851206_WATER,0.6804288537150609,1985,12,6,6,1986,7099013,4830373.278098316
Sollana W,1_1_1_LT05_198033_19851206_WATER,0.41297816491008554,1985,12,6,6,1986,11602589,4791615.913425945
Sollana E,1_1_1_LT05_198033_19851206_WATER,0.7715601086566266,1985,12,6,6,1986,9436111,7280526.828455989
Vedat Sollana,1_1_1_LT05_198033_19851206_WATER,0.7574494700999408,1985,12,6,6,1986,9895660,7495462.42328918
Sueca N,1_1_1_LT05_198033_19851206_WATER,0.8078126894967916,1985,12,6,6,1986,12981706,10486786.838116636
Albalat,1_1_1_LT05_198033_19851206_WATER,0.09405238326409633,1985,12,6,6,1986,17166891,1614587.0117849659
Sueca E,1_1_1_LT05_198033_19851206_WATER,0.8792812948365649,1985,12,6,6,1986,14200803,12486500.449558975
Vedat Nou Sueca,1_1_1_LT05_198033_19851206_WATER,0.7820897070512023,1985,12,6,6,1986,18323485,14330609.0158071
Vedat Vell Sueca,1_1_1_LT05_198033_19851206_WATER,0.7805997918794096,1985,12,6,6,1986,10511863,8205558.070064867
Cullera,1_1_1_LT05_198033_19851206_WATER,0.6923773779164843,1985,12,6,6,1986,15100532,10455266.751303965
Sueca W,1_1_1_LT05_198033_19851206_WATER,0.7846091661395102,1985,12,6,6,1986,11324002,8884915.766582144
Marjales S Xuquer,1_1_1_LT05_198033_19851206_WATER,0.30863564260054854,1985,12,6,6,1986,27670063,8539967.674802663
AllUnits,1_1_1_LT05_198033_19851206_WATER,0.6106468052218206,1985,12,6,6,1986,209879581,128162295.61894432
Valencia N,1_1_1_LT05_198033_19861225_WATER,0.6739678733983763,1986,12,25,25,1987,9661724,6511691.577642053
Alfafar,1_1_1_LT05_198033_19861225_WATER,0.752591739554697,1986,12,25,25,1987,6189465,4658140.231262913
Valencia S,1_1_1_LT05_198033_19861225_WATER,0.7680606619019602,1986,12,25,25,1987,9859932,7573025.898228318
Massanassa,1_1_1_LT05_198033_19861225_WATER,0.618018740865977,1986,12,25,25,1987,3893886,2406494.5227956558
Catarroja,1_1_1_LT05_198033_19861225_WATER,0.732778922072151,1986,12,25,25,1987,7132805,5226769.159250849
Vedat Silla,1_1_1_LT05_198033_19861225_WATER,0.782609051156961,1986,12,25,25,1987,7906633,6187802.549976316
Marjal Silla,1_1_1_LT05_198033_19861225_WATER,0.7419843238575727,1986,12,25,25,1987,7099013,5267356.360861119
Sollana W,1_1_1_LT05_198033_19861225_WATER,0.40655225032018083,1986,12,25,25,1987,11602589,4717058.667490177
Sollana E,1_1_1_LT05_198033_19861225_WATER,0.8117308765563775,1986,12,25,25,1987,9436111,7659582.653313276
Vedat Sollana,1_1_1_LT05_198033_19861225_WATER,0.5985301947230148,1986,12,25,25,1987,9895660,5922851.3067127485
Sueca N,1_1_1_LT05_198033_19861225_WATER,0.8306717692442876,1986,12,25,25,1987,12981706,10783536.690829184
Albalat,1_1_1_LT05_198033_19861225_WATER,0.006944369458334665,1986,12,25,25,1987,17166891,119213.23355496024
Sueca E,1_1_1_LT05_198033_19861225_WATER,0.8696782305434227,1986,12,25,25,1987,14200803,12350129.22533573
Vedat Nou Sueca,1_1_1_LT05_198033_19861225_WATER,0.785516089430391,1986,12,25,25,1987,18323485,14393392.281936428
Vedat Vell Sueca,1_1_1_LT05_198033_19861225_WATER,0.792093126316468,1986,12,25,25,1987,10511863,8326374.427080406
Cullera,1_1_1_LT05_198033_19861225_WATER,0.5548234943618731,1986,12,25,25,1987,15100532,8378129.930963283
Sueca W,1_1_1_LT05_198033_19861225_WATER,0.7190292550434368,1986,12,25,25,1987,11324002,8142288.722170389
Marjales S Xuquer,1_1_1_LT05_198033_19861225_WATER,0.009689946584743496,1986,12,25,25,1987,27670063,268121.4324664874
AllUnits,1_1_1_LT05_198033_19861225_WATER,0.5707914772948599,1986,12,25,25,1987,209879581,119797476.0930162
Valencia N,1_1_1_LT05_198033_19871212_WATER,0.7108323721118083,1987,12,12,12,1988,9661724,6867866.189609589
Alfafar,1_1_1_LT05_198033_19871212_WATER,0.7640568144487903,1987,12,12,12,1988,6189465,4729102.911042281
