sum	system:index	area	unidad			
1729.9921568628	0	9661724	ValenciaN		1556992.94117647	16.115063328
1635.9725490196	1	6189465	Alfafar		1472375.29411765	23.7884097271
7700.5843137255	2	9859932	ValenciaS		6930525.88235294	70.2897939089
1914.2705882353	3	3893886	Massanassa		1722843.52941176	44.2448374044
3135.4235294118	4	7132805	Catarroja		2821881.17647059	39.5620120902
3871.1803921569	5	7906633	VedatSilla		3484062.35294118	44.0650571861
3958.5725490196	6	7099013	MarjalSilla		3562715.29411765	50.1860652195
2732.3411764706	7	11602589	SollanaW		2459107.05882353	21.1944683969
7706.8196078431	8	9436111	SollanaE		6936137.64705883	73.5063168191
11.968627451	9	9895660	VedatSollana		10771.7647058824	0.1088534237
7229.7529411765	10	12981706	SuecaN		6506777.64705882	50.1226699099
0	11	17166891	Albalat		0	0
153.5333333333	12	14200803	SuecaE		138180	0.9730435666
10585.3333333333	13	18323485	VedatNou	Sueca	9526800	51.9922929508
3421.6823529412	14	10511863	VedatVell	Sueca	3079514.11764706	29.2956074261
602.3764705882	15	15100532	Cullera		542138.823529412	3.5901968456
209.968627451	16	11324002	SuecaW		188971.764705882	1.6687719121
732.3411764706	17	27670063	MarjalesSXuquer		659107.058823529	2.3820222557
